loop_id	loop_strength	region
chr1_237386814_237562814	183.9630472995169	region8
chr1_237677814_237800814	128.2988130261643	region8
chr1_237851814_238951814	2943.0485034738913	region8
chr1_237863814_238428814	203.01655496831012	region8
chr1_237864814_238952814	3045.2498648108503	region8
chr1_237865814_237938814	102.59453467927767	region8
chr1_238252814_238951814	841.704970608327	region8
chr1_238952814_239897814	808.3659959657236	region8
chr1_239308814_239819814	308.195331315361	region8
chr1_239309814_239898814	837.2366988452026	region8
chr1_239387814_239813814	362.8694572735779	region8
chr1_239405814_239898814	903.7538812837954	region8
chr1_239406814_239818814	387.41664840353343	region8
chr1_239588814_239896814	0.0	region8
chr1_239810814_239897814	78.51397360270622	region8
chr1_239950814_240148814	62.66945150124949	region8
chr1_239951814_239976814	144.82372825810572	region8
chr1_239951814_239987814	117.86466146062249	region8
chr1_239951814_240004814	128.2684506791655	region8
chr1_239951814_240189814	161.724104711748	region8
chr1_240027814_240189814	633.8214457753861	region8
chr1_240027814_240149814	590.638056663464	region8
chr1_240027814_240169814	356.35571113684387	region8
chr1_240073814_240091814	65.79894576014708	region8
chr1_240190814_240493814	286.44842657925585	region8
chr1_240190814_240455814	194.26582624691343	region8
chr1_240190814_240464814	158.15986336951116	region8
chr1_240191814_240294814	102.81659268126147	region8
chr3_118640000_118864000	146.7950133416235	region12
chr3_118640000_118817000	294.94963911117344	region12
chr3_118729000_118817000	140.04625353432846	region12
chr3_118734000_118817000	122.52261993252638	region12
chr3_118761000_118817000	123.07199146694168	region12
chr3_118882000_119679000	0.0	region12
chr3_118883000_119206000	211.45490635284096	region12
chr3_118883000_119127000	312.80156272301883	region12
chr3_118883000_119241000	299.81473368670885	region12
chr3_118883000_119098000	1787.1841176490004	region12
chr3_118884000_119034000	279.12817963673444	region12
chr3_119100000_119241000	99.02954879873106	region12
chr3_119130000_119206000	120.55386866408209	region12
chr3_119145000_119241000	159.7311652707204	region12
chr3_119240000_119463000	183.52930270731952	region12
chr3_119240000_119359000	104.74576637113537	region12
chr3_119241000_119498000	187.90998971984465	region12
chr3_119241000_119391000	108.74379433515409	region12
chr3_119241000_119702000	209.90884528991603	region12
chr3_119241000_119428000	177.9928330491639	region12
chr3_119241000_119323000	94.41377257919694	region12
chr3_119241000_119294000	90.0632336126045	region12
chr3_119241000_119350000	149.0400302097493	region12
chr3_119243000_119678000	0.0	region12
chr3_119272000_119428000	217.04082274072414	region12
chr3_119293000_119498000	103.70816310316233	region12
chr3_119294000_119322000	86.7957077964126	region12
chr3_119294000_119349000	121.64684344961366	region12
chr3_119322000_119360000	86.9494777220286	region12
chr3_119323000_119349000	110.2637871966357	region12
chr3_119421000_119678000	0.0	region12
chr3_119463000_119498000	73.32190826846792	region12
chr3_119464000_119702000	138.98781116290635	region12
chr3_119467000_119579000	71.44809198903272	region12
chr3_119468000_119677000	0.0	region12
chr3_119470000_119497000	92.236849794586	region12
chr3_119498000_119677000	0.0	region12
chr3_119498000_119580000	95.11499057418109	region12
chr3_119498000_119702000	144.17865486358198	region12
chr3_119499000_119561000	0.0	region12
chr3_119524000_119680000	0.0	region12
chr3_119561000_119578000	0.0	region12
chr3_119580000_119677000	0.0	region12
chr3_119601000_119676000	0.0	region12
chr3_119601000_119680000	0.0	region12
chr3_119677000_119702000	0.0	region12
chr3_119702000_119821000	87.91275732584742	region12
chr3_119821000_120183000	276.1469330384591	region12
chr3_119821000_120197000	274.46198637018773	region12
chr3_119822000_120096000	162.0012485517232	region12
chr3_119822000_120146000	238.59120394839476	region12
chr3_119892000_120146000	237.81008082445564	region12
chr3_119892000_120093000	247.03548526210687	region12
chr3_119892000_120182000	262.105602321582	region12
chr3_119893000_120035000	174.03435474305647	region12
chr3_120004000_120094000	104.9897461645092	region12
chr3_120005000_120022000	72.25236958209187	region12
chr3_120005000_120042000	62.27305464857595	region12
chr3_120006000_120013000	68.18334413920657	region12
chr3_120006000_120032000	72.70198186824841	region12
chr3_120007000_120159000	84.90824317101959	region12
chr3_120040000_120146000	163.44822282663975	region12
chr3_120040000_120094000	133.5300223113738	region12
chr3_120040000_120182000	132.98809423613412	region12
chr3_120040000_120244000	99.69661420591032	region12
chr3_120041000_120558000	239.45605150677594	region12
chr3_120041000_120234000	104.13289778846331	region12
chr3_120041000_120417000	86.08635996461763	region12
chr3_120072000_120092000	68.3622626158633	region12
chr3_120094000_120349000	139.61910671423436	region12
chr3_120094000_120450000	129.57105282918877	region12
chr3_120094000_120559000	192.73797798050566	region12
chr3_120095000_120503000	115.99309715863633	region12
chr3_120244000_120559000	658.5308630394488	region12
chr3_120244000_120417000	185.31630710276843	region12
chr3_120244000_120348000	139.92267748916152	region12
