loop_id	loop_strength	region
chr1_239951814_239987814	38.55341827882085	region8
chr1_239951814_240148814	34.09343760315741	region8
chr1_239952814_239975814	43.61066639054319	region8
chr3_118783000_118809000	24.721395771848194	region12
chr3_118819000_118840000	18.914972427213637	region12
chr3_118881000_119821000	35.911640997414565	region12
chr3_118883000_119679000	23.038316906108882	region12
chr3_118884000_119098000	529.3376486766804	region12
chr3_118884000_119241000	135.2446688208461	region12
chr3_118884000_119353000	90.58353819035352	region12
chr3_118884000_119034000	232.50190200902625	region12
chr3_119099000_119681000	0.0	region12
chr3_119145000_119680000	0.0	region12
chr3_119145000_119241000	106.88427436541141	region12
chr3_119218000_119250000	12.814766386735064	region12
chr3_119241000_119322000	36.897330029182264	region12
chr3_119241000_119464000	38.62376275958112	region12
chr3_119241000_119498000	42.52246530226766	region12
chr3_119241000_119294000	18.922521499058664	region12
chr3_119241000_119680000	0.0	region12
chr3_119249000_119293000	17.03941472778004	region12
chr3_119250000_119405000	37.78528260476475	region12
chr3_119250000_119677000	17.644788094213204	region12
chr3_119251000_119430000	26.378613904100742	region12
chr3_119269000_119404000	28.73919610129357	region12
chr3_119271000_119293000	24.650822159395503	region12
chr3_119271000_119596000	31.067188998012647	region12
chr3_119272000_119462000	20.721694985971414	region12
chr3_119274000_119353000	44.957383639300076	region12
chr3_119275000_119680000	0.0	region12
chr3_119275000_119559000	5.588054801232415	region12
chr3_119294000_119463000	24.46992327477725	region12
chr3_119294000_119498000	24.63386350401241	region12
chr3_119294000_119679000	6.2819232440199	region12
chr3_119295000_119322000	24.676522938576156	region12
chr3_119323000_119463000	33.31211925210159	region12
chr3_119323000_119677000	11.653674225295527	region12
chr3_119378000_119565000	19.300735632600414	region12
chr3_119420000_119681000	0.0	region12
chr3_119432000_119678000	6.466964436322584	region12
chr3_119450000_119462000	8.283736467980631	region12
chr3_119463000_119677000	14.884508975558825	region12
chr3_119463000_120094000	82.3118828754487	region12
chr3_119464000_119498000	50.49279768123254	region12
chr3_119465000_120348000	64.34503239372488	region12
chr3_119468000_119677000	13.9536250896685	region12
chr3_119469000_119498000	56.57689515840014	region12
chr3_119498000_119677000	10.237229091995392	region12
chr3_119498000_119701000	19.86410636172083	region12
chr3_119498000_120094000	140.7648762532964	region12
chr3_119499000_119579000	31.56770608963078	region12
chr3_119499000_120349000	100.60159597620786	region12
chr3_119565000_119598000	31.248153274361634	region12
chr3_119579000_119677000	7.68920656223311	region12
chr3_119601000_119679000	10.83201276223335	region12
chr3_119677000_119702000	1.5402002737261555	region12
chr3_119678000_120094000	6.740067110764954	region12
chr3_119701000_120094000	28.646219373759603	region12
chr3_119800000_119985000	17.109080758856198	region12
chr3_119820000_120183000	95.25847850007075	region12
chr3_119821000_120198000	68.95380518806608	region12
chr3_119821000_120559000	94.0060360183958	region12
chr3_119821000_120146000	52.417517804119164	region12
chr3_119846000_120282000	26.228104794862762	region12
chr3_119892000_120182000	130.5632761860928	region12
chr3_119892000_120417000	73.78149388805143	region12
chr3_119892000_120197000	68.27682050632582	region12
chr3_119892000_120559000	91.87459722676851	region12
chr3_119893000_120146000	56.74841043772278	region12
